,AT,V,AP,RH,PE
5090,22.99,61.02,1009.88,81.56,440.85
6299,23.9,61.41,1011.95,67.87,451.99
2617,25.23,60.84,1017.79,56.42,442.02
4781,7.57,41.14,1028.23,87.97,477.8
8194,25.76,65.48,1017.82,54.77,441.14
2365,24.51,51.86,1014.64,67.57,446.74
2422,26.1,74.16,1009.42,85.4,437.18
3152,24.12,51.43,1006.55,83.77,441.49
1278,11.78,39.96,1011.37,82.95,472.79
4439,19.69,56.65,1020.72,70.86,456.18
6737,7.0,35.77,1018.21,64.84,482.8
5118,14.43,39.82,1012.56,78.52,470.17
3771,14.18,39.3,1020.1,67.48,464.32
1809,16.0,43.34,1013.58,78.87,461.7
5436,27.31,65.12,1016.05,45.98,440.06
7152,19.99,65.94,1012.28,75.42,447.22
6269,26.52,77.17,1008.71,92.32,432.48
4253,19.04,51.86,1018.05,79.01,458.64
4929,24.38,47.01,1015.17,68.96,454.85
1868,25.86,61.08,1013.51,67.5,449.67
2511,26.88,73.56,1004.85,94.36,430.63
3023,3.4,39.64,1011.1,83.43,459.86
2170,22.1,68.12,1012.71,79.77,440.08
5618,30.97,67.9,1005.98,55.6,428.26
3008,31.05,62.7,1009.35,55.27,441.67
6074,20.14,46.93,1014.66,64.22,453.99
8126,17.8,62.26,1011.81,89.81,451.62
4667,18.94,48.7,1007.82,92.88,453.36
5962,7.94,40.56,1023.25,80.84,488.01
2476,11.34,43.67,1011.54,87.95,472.77
9003,24.05,61.87,1009.64,54.54,442.16
4402,17.33,53.16,1013.16,82.93,460.67
7511,29.89,71.29,1009.0,55.72,431.45
8403,29.83,71.43,1011.93,55.8,439.34
4234,9.77,39.04,1023.73,76.06,483.87
1977,26.38,66.49,1013.89,43.06,442.38
3889,25.92,50.16,1003.95,71.3,440.98
182,11.69,35.76,1019.02,55.6,471.72
8017,30.12,69.68,1012.89,60.64,436.34
245,13.5,44.92,1023.87,87.17,468.85
9367,10.02,39.96,1024.88,96.85,473.22
6523,19.09,56.51,1015.58,92.56,449.24
576,10.48,41.38,1021.97,65.22,481.41
5157,22.26,60.37,1008.14,92.37,441.33
5324,32.84,77.95,1014.68,45.8,431.97
2168,30.28,79.74,1006.96,70.21,433.45
1173,16.61,43.77,1012.25,77.23,457.66
4575,23.42,63.07,1011.72,75.81,444.23
8181,10.32,42.28,1008.82,75.66,481.09
5348,31.68,68.24,1005.29,37.34,427.22
556,20.06,44.9,1008.79,70.06,448.51
5519,18.48,52.05,1012.41,68.2,458.62
2752,14.43,44.47,1028.57,70.7,466.56
1765,28.15,71.94,1006.73,68.21,427.69
2983,27.05,77.95,1009.57,76.56,434.09
5051,22.25,59.8,1016.79,69.02,451.64
888,23.5,50.78,1008.7,57.7,445.09
1621,28.36,60.23,1010.05,53.03,441.08
6815,23.92,73.17,1011.81,92.33,433.78
8989,9.12,41.54,1018.61,79.26,482.95
7464,32.82,68.31,1010.44,41.85,441.06
5605,23.57,64.15,1020.95,68.19,450.08
8452,14.56,41.76,1023.82,85.36,464.3
3899,13.69,40.1,1014.38,83.57,470.76
6340,11.83,44.6,1018.49,89.06,469.96
4459,24.4,41.1,1002.14,38.75,451.66
96,18.87,52.08,1005.25,99.19,449.61
1323,11.68,40.55,1017.31,99.82,473.51
1745,9.79,39.69,1002.36,93.86,471.61
7469,12.64,40.71,1024.2,65.21,476.37
8951,31.92,69.13,1000.77,58.91,425.19
2017,20.38,66.54,1013.95,77.8,448.93
8227,26.49,71.73,1010.07,74.48,431.06
8797,22.97,63.94,1010.5,88.47,440.81
3112,13.73,41.92,1031.01,64.92,466.29
7837,10.2,40.67,1016.15,73.2,482.26
7662,18.34,45.64,1019.05,82.53,460.58
6107,9.42,39.64,1010.86,74.03,478.05
8669,23.25,59.87,1018.69,66.4,444.23
5708,25.45,70.04,1011.2,82.48,430.2
6122,27.07,74.87,1010.09,58.97,440.47
8051,24.96,60.84,1018.13,59.51,442.36
8920,13.94,44.84,1023.69,95.3,468.06
7291,26.44,71.64,1004.55,85.53,435.61
3638,11.26,40.43,1025.68,74.67,489.66
333,22.69,65.12,1016.35,72.02,446.91
23,7.29,41.04,1024.06,89.19,474.71
2629,23.45,69.05,1003.03,66.41,440.24
8206,28.55,66.51,1015.46,34.04,432.59
4921,24.69,71.73,1010.13,70.54,436.78
9501,13.47,41.14,1026.09,82.96,463.67
0,8.34,40.77,1010.84,90.01,480.48
8343,8.26,40.96,1025.23,89.22,485.73
6956,11.52,40.03,1017.56,87.87,472.31
4792,27.23,49.16,1004.03,40.8,443.78
7774,10.68,37.92,1009.59,65.05,474.03
6943,23.64,71.25,1004.92,93.87,442.26
7607,18.55,41.1,1002.02,65.16,459.97
8696,8.48,42.49,1010.77,88.68,483.5
6142,22.01,49.39,1019.6,75.8,451.84
8505,26.65,66.48,1005.7,65.09,436.65
8481,14.81,44.88,1019.1,66.7,464.65
8678,20.08,54.42,1011.79,89.35,457.14
6425,22.17,65.61,1014.71,70.91,449.91
1062,22.23,46.93,1013.09,58.02,448.27
3415,27.21,68.12,1012.96,54.69,435.2
2549,30.88,69.51,1011.48,46.58,433.14
360,27.86,65.18,1012.87,55.53,436.26
8018,15.73,38.73,1002.48,76.91,466.63
2999,31.17,69.51,1010.51,43.11,428.94
170,24.79,50.78,1008.78,61.88,445.3
6452,14.44,40.1,1015.51,79.78,468.19
220,21.14,48.78,1020.39,86.2,450.35
4475,22.67,60.77,1017.56,79.43,444.43
6701,22.58,59.14,1017.2,80.91,439.78
3901,5.21,35.79,1011.5,95.08,484.03
1542,7.79,41.01,1024.0,97.2,477.0
5297,13.65,42.74,1026.58,71.48,468.87
8667,27.4,66.48,1004.71,51.5,439.66
2156,29.25,78.87,1012.05,84.28,430.49
7619,14.75,41.16,1009.58,86.96,468.14
8356,23.61,43.77,1011.81,56.08,444.55
6728,24.09,73.68,1014.93,94.55,441.34
3793,28.9,60.07,1015.96,45.06,440.62
6696,10.49,42.49,1009.81,78.92,478.75
2160,10.34,37.5,1010.35,95.56,474.08
1782,22.81,58.96,1013.5,55.66,452.89
7182,26.45,73.5,1010.31,74.33,433.44
1369,15.14,41.93,1020.95,61.26,469.68
8399,23.38,54.42,1013.95,73.02,451.87
538,29.53,72.39,998.47,76.05,431.69
5977,17.1,62.1,1020.39,93.63,453.4
4959,25.48,58.95,1017.02,51.16,440.42
8719,30.83,77.3,1001.7,57.85,435.87
2645,6.86,42.49,1007.95,93.96,486.14
1706,29.15,69.48,1008.68,55.78,430.54
4694,18.92,67.71,1008.19,64.53,446.77
2989,6.84,41.06,1021.04,89.59,489.96
4546,19.76,62.1,1020.07,73.55,450.44
7522,10.61,40.77,1022.09,83.62,471.26
8934,19.81,66.54,1013.88,80.09,449.07
1048,10.22,45.01,1018.27,93.62,474.32
8633,31.11,74.87,1009.11,54.86,434.3
4623,23.95,58.79,1010.45,74.34,448.32
7300,23.1,66.05,1020.28,80.62,439.03
8813,12.82,48.14,1017.47,81.45,467.48
7704,11.95,40.69,1015.62,85.34,475.4
2281,31.16,64.96,1001.71,44.85,425.82
6923,4.96,40.07,1011.8,67.38,494.75
4976,24.42,66.56,1002.04,84.7,434.18
8716,14.35,35.71,1016.1,60.86,468.9
7877,18.97,50.59,1016.01,74.9,459.68
2195,8.47,40.46,1019.87,78.19,475.06
6464,16.31,52.75,1024.4,55.69,456.58
2872,14.32,45.08,1023.24,84.53,467.21
260,31.4,71.06,1008.44,74.77,433.34
7919,10.64,39.61,1018.33,66.81,471.48
3300,11.74,40.71,1020.64,82.15,470.05
7593,7.41,39.16,1015.23,90.66,486.91
1206,17.99,43.72,1008.64,75.04,453.02
1207,29.29,70.36,1006.64,60.82,431.26
3096,18.81,52.08,1004.43,99.6,450.87
5719,9.52,39.61,1021.18,73.78,478.79
2537,28.47,67.69,1004.79,56.51,430.67
8956,20.61,48.78,1020.8,85.05,449.38
8981,8.99,36.3,1027.08,73.98,478.95
4434,20.13,43.43,1009.75,66.16,453.47
6134,18.5,51.43,1010.82,92.04,459.42
8224,24.34,59.54,1004.01,87.07,440.63
6835,22.89,48.98,1014.55,48.21,448.56
2455,30.34,75.08,1005.32,52.97,437.26
5306,23.59,43.77,1010.85,55.98,448.42
7712,9.39,39.66,1019.22,75.33,482.16
5888,21.31,49.39,1020.18,71.35,455.34
9409,31.24,74.22,1007.74,48.77,430.44
1897,12.83,44.88,1017.86,87.88,474.26
7123,8.95,43.56,1015.04,81.53,485.21
5390,18.0,43.7,1015.4,61.28,464.26
7651,6.54,39.33,1011.54,93.69,491.16
1205,22.97,72.24,1011.15,95.85,437.41
3572,19.6,59.21,1017.65,86.29,449.23
3928,12.41,37.92,1008.09,65.23,470.49
9281,11.75,42.32,1015.28,77.25,470.44
3094,16.02,44.21,1020.97,85.64,462.51
4718,13.35,41.44,1015.9,66.04,473.17
673,30.47,70.83,1010.91,46.94,444.39
7784,25.14,63.47,1012.58,70.27,443.93
5242,27.66,76.86,1001.31,69.47,436.64
3374,10.65,41.78,1013.66,70.04,474.27
4209,20.6,59.15,1013.32,91.07,443.76
334,11.91,44.45,1021.39,84.49,466.52
7384,13.62,40.2,1014.2,85.05,465.74
669,17.37,57.76,1016.0,86.59,456.4
225,20.66,41.54,1014.68,79.7,461.55
5068,27.35,69.48,1008.51,65.81,432.31
5000,13.66,40.55,1005.46,96.02,467.7
6869,30.12,73.18,1012.29,61.32,429.31
583,17.39,46.21,1013.94,82.73,454.06
29,27.17,67.45,1015.67,49.03,429.87
9437,30.91,76.2,1008.53,58.08,434.94
7021,20.6,44.58,1017.67,48.36,466.2
7238,22.75,57.76,1017.83,66.54,452.33
3481,26.31,52.09,1013.39,53.59,447.04
6093,13.18,37.91,1018.09,88.84,469.63
8446,14.01,43.34,1016.95,83.41,463.81
2200,9.41,39.61,1016.14,78.38,477.34
8389,27.14,65.27,1013.26,55.17,441.68
3200,20.7,58.16,1016.73,68.19,453.22
8135,23.66,69.51,1012.9,52.59,435.39
413,9.8,41.82,1032.98,67.55,473.72
6508,7.65,40.67,1020.14,72.37,491.1
2397,22.88,50.23,1016.11,63.77,458.08
5075,33.38,71.06,1008.1,64.83,430.98
4991,30.35,69.51,1009.95,39.24,430.07
2474,29.21,72.25,1012.72,71.85,434.64
63,33.4,70.8,1009.17,57.01,432.46
5151,31.19,68.3,1014.86,39.1,430.48
9387,12.74,49.83,1007.44,91.47,466.09
1490,6.69,43.65,1020.14,69.55,482.57
2832,17.98,39.63,1005.42,82.12,466.69
8441,22.88,59.21,1011.51,86.93,440.25
7529,24.7,58.46,1015.58,68.64,439.7
6647,4.65,35.19,1018.23,94.78,489.36
5355,28.21,70.8,1010.45,77.92,435.99
710,13.93,39.64,1011.8,82.64,470.84
9388,28.31,74.33,1011.89,69.77,428.46
555,21.34,51.61,1010.11,80.7,452.0
6076,23.78,58.86,1015.7,62.95,443.79
5383,27.91,64.79,1017.7,48.29,440.53
4327,18.75,41.1,1001.97,59.6,458.31
1633,30.56,71.98,1004.74,58.77,429.2
4171,13.98,40.24,1017.19,87.45,467.2
5388,26.68,62.91,1012.33,60.78,441.04
288,10.63,39.61,1020.0,72.42,476.99
154,9.99,43.52,1022.95,99.67,473.64
977,5.42,41.38,1020.77,86.02,491.38
3692,18.17,52.08,1001.91,100.09,451.06
7780,26.27,59.44,1012.23,58.77,443.67
4210,28.61,68.12,1012.23,46.45,435.28
9240,23.43,69.23,1013.09,63.48,441.6
8036,17.5,42.44,1012.55,76.85,466.78
802,22.46,58.33,1013.21,68.68,445.9
2491,16.58,45.87,1009.66,97.59,457.8
2734,30.68,71.25,999.98,68.99,433.47
7470,27.38,77.24,1008.25,82.49,435.81
9117,27.94,69.84,1003.11,70.47,428.67
5401,19.36,44.6,1016.25,45.65,464.56
1579,19.38,54.9,1017.08,70.46,454.1
8915,28.32,77.95,1014.61,77.17,436.97
6637,28.59,69.84,1003.79,67.31,427.53
2796,27.41,74.67,1016.57,80.16,429.21
2007,27.06,77.17,1008.71,90.6,432.2
1642,20.69,50.78,1008.71,91.95,447.58
7694,19.76,48.92,1010.48,46.57,456.69
1569,5.41,45.87,1008.47,97.51,479.48
8827,12.72,40.6,1013.45,86.16,471.23
2328,27.32,66.54,1004.95,72.58,431.33
266,10.22,41.74,1022.65,83.58,479.01
3097,31.26,76.09,1006.66,63.91,430.36
4012,15.52,58.59,1014.12,91.22,457.74
6936,25.02,60.29,1017.49,54.75,445.61
27,7.84,41.39,1018.21,91.92,485.66
1723,21.7,49.02,1008.74,82.8,446.46
7990,22.1,58.33,1013.71,69.09,441.31
623,27.65,48.41,1008.54,58.25,440.94
7562,19.09,42.44,1012.93,63.59,461.84
3424,18.15,41.23,993.82,61.21,456.32
2269,26.71,77.95,1012.13,77.5,433.47
5396,19.79,51.19,1008.77,94.72,447.96
4251,7.94,40.6,1015.3,92.14,486.33
8003,8.84,42.49,1010.28,89.09,481.58
6455,12.65,44.0,1023.03,88.73,471.46
9111,16.07,44.58,1019.52,67.95,471.36
2070,16.56,42.99,1007.48,74.45,464.62
3443,14.2,40.92,1022.26,71.71,460.42
2871,19.04,50.12,1010.53,100.09,446.59
1013,11.3,25.36,1008.66,96.18,471.19
5491,25.2,57.5,1015.19,59.62,446.26
6824,25.26,52.3,1006.65,64.64,442.76
3358,14.01,42.74,1029.16,68.31,466.15
3133,15.83,45.01,1013.39,81.9,460.22
4636,30.26,77.24,1008.39,74.25,430.51
9542,27.3,65.12,1016.24,44.87,442.78
2445,15.46,44.6,1017.7,68.2,459.62
7293,18.01,54.9,1017.04,77.82,455.91
2688,9.88,40.71,1015.34,84.32,471.8
6242,25.03,60.27,1017.9,72.04,438.24
4266,12.15,43.71,1025.78,93.69,472.59
5153,24.26,61.02,1009.78,76.68,442.86
1156,20.15,39.72,1001.85,59.32,456.87
9013,6.12,40.81,1014.77,88.15,487.24
8208,14.86,44.85,1016.19,67.43,468.87
6659,19.3,65.59,1014.07,81.98,452.76
7313,25.78,47.93,1003.67,67.23,442.46
4564,27.01,71.25,1000.46,87.95,431.38
5352,19.55,39.39,1013.55,57.82,464.36
2010,6.3,39.33,1010.63,94.26,489.95
4355,25.17,72.39,1001.69,90.51,432.45
3957,14.77,58.2,1018.78,83.83,460.54
7346,21.94,64.15,1021.2,61.75,453.3
6072,8.42,43.14,1011.62,80.32,483.49
3496,20.12,45.09,1013.73,57.78,448.35
5227,23.25,69.45,1013.85,70.14,437.18
2490,30.52,70.4,1003.9,64.33,438.29
610,26.5,66.05,1017.03,61.34,440.15
4901,30.36,69.04,1009.6,58.73,436.72
7820,22.67,62.52,1016.47,65.63,449.34
9156,27.36,48.6,1003.18,54.93,436.06
2202,21.16,45.38,1014.65,73.06,458.63
8891,12.11,38.28,1013.56,93.21,469.93
3796,17.85,45.64,1020.11,82.94,459.59
3930,7.63,40.56,1023.13,81.01,486.7
4880,23.32,69.13,1010.75,91.84,435.27
7110,15.9,39.99,1007.03,78.49,465.5
814,21.38,49.21,1012.49,53.77,449.66
4040,25.74,68.94,1007.7,67.56,433.45
5631,30.48,70.04,1010.73,53.7,429.85
9134,21.36,68.28,1007.6,72.37,445.91
4170,24.59,72.24,1011.42,81.5,433.31
791,29.79,62.66,1008.5,48.51,440.27
8691,27.58,73.06,1009.63,88.31,438.1
9016,27.08,63.78,1015.04,50.8,447.24
4096,30.8,73.17,1010.51,51.93,432.24
658,25.83,70.47,1006.24,81.83,434.45
1819,25.15,68.51,1013.25,72.31,440.96
6139,9.95,41.82,1033.09,69.44,477.52
9028,29.57,67.83,1009.19,55.74,427.62
8796,26.85,57.19,1007.9,60.04,438.01
3295,18.43,44.63,1019.76,39.99,458.75
7113,32.38,73.91,1004.05,61.69,430.17
2136,30.08,73.42,1011.17,63.86,434.95
2318,25.31,61.5,1009.31,63.31,437.03
7025,10.01,41.17,1018.78,86.84,479.4
17,11.49,44.63,1020.44,86.04,471.08
4851,9.0,40.78,1025.39,99.22,468.5
3412,28.88,63.76,1010.16,56.34,435.54
2097,26.85,75.6,1017.43,74.55,433.48
6404,26.35,49.5,1012.67,41.34,458.41
8247,28.41,75.6,1018.48,56.07,440.28
4836,25.39,58.79,1015.85,62.59,441.51
4454,5.43,39.9,1007.5,86.27,487.84
1671,10.52,41.48,1018.0,68.99,469.8
1453,27.24,69.13,1009.28,70.85,432.36
2632,16.94,49.64,1024.43,69.22,459.25
858,23.21,62.44,1011.78,76.66,442.47
6011,8.36,38.91,1016.27,88.82,482.09
6105,28.21,70.02,1010.58,51.34,442.47
2013,22.05,61.27,1019.6,58.83,447.95
6755,16.37,39.64,1009.19,76.92,463.91
5818,13.32,38.73,1005.37,88.48,472.33
7087,23.95,51.86,1014.24,68.28,449.81
536,26.42,59.54,1007.02,76.28,438.5
1748,20.68,42.04,1010.2,63.43,464.14
221,22.24,60.07,1015.93,62.25,446.14
8765,14.5,44.47,1028.2,66.95,465.15
6447,11.61,39.69,1006.85,83.69,470.78
580,12.76,40.27,1006.58,49.34,474.03
7857,19.77,54.42,1011.73,89.26,458.21
524,28.62,68.24,1010.15,69.31,428.08
2416,12.12,41.17,1017.68,78.72,470.67
2827,25.53,59.57,1010.65,82.04,445.59
3918,23.18,51.3,1012.04,78.64,448.86
737,14.07,42.99,1007.57,96.05,468.87
2096,22.55,70.79,1006.19,92.56,436.43
3465,30.02,73.5,1010.52,44.91,429.84
7588,24.14,41.1,1002.1,38.49,450.13
8640,23.0,63.78,1015.85,70.46,444.62
6639,30.7,69.59,1008.03,66.78,433.4
3413,14.49,42.86,1013.94,88.2,468.4
1301,9.08,36.18,1020.24,68.37,477.26
5189,16.76,43.77,1012.25,77.95,457.0
2530,9.08,42.49,1010.67,85.35,481.46
8572,23.42,73.17,1012.07,88.39,438.22
1023,12.2,39.72,1018.07,54.83,471.33
3904,25.6,71.73,1010.15,68.99,436.7
5250,21.7,70.32,1009.12,91.3,438.52
9494,25.14,60.93,1007.44,76.71,437.4
3051,12.49,38.25,1012.61,83.32,470.63
2152,32.77,72.86,1003.6,52.87,433.84
4634,21.05,61.87,1009.69,62.81,449.05
5948,7.06,41.74,1021.95,90.38,448.97
1752,11.49,41.54,1020.17,70.91,476.74
2677,17.54,58.49,1012.35,91.56,453.02
788,25.36,60.07,1015.06,66.11,439.73
6265,29.59,74.78,1009.45,55.75,436.77
3229,14.87,41.76,1022.26,78.21,464.84
5370,10.95,39.22,1015.69,62.3,474.07
4707,22.79,44.57,1007.31,69.36,448.91
1975,10.62,39.96,1025.37,96.64,470.8
9177,19.19,50.16,1011.12,99.91,449.52
9473,7.57,37.49,1009.73,83.07,481.98
3182,28.18,67.17,1006.84,75.55,438.49
1546,20.46,51.43,1007.31,93.25,444.88
3639,7.62,44.71,1020.56,69.96,486.07
1208,15.28,43.71,1024.32,81.24,463.44
1324,23.54,65.27,1013.78,64.28,445.19
1836,34.24,74.67,1016.24,25.56,425.58
3964,10.74,44.85,1014.25,71.61,476.83
8401,7.31,43.02,1014.19,86.43,484.82
1472,10.86,37.5,1013.36,75.56,473.75
8092,12.25,41.38,1021.81,59.0,474.77
7073,20.91,58.2,1018.1,62.8,446.19
2218,8.99,36.66,1028.11,71.98,481.03
4793,11.17,40.27,1009.54,74.56,476.18
6752,23.66,60.37,1006.91,87.13,438.59
4047,24.86,65.34,1012.99,60.33,447.25
1398,21.11,41.67,1012.44,52.86,460.33
106,30.31,77.24,1008.02,67.84,435.28
5516,15.22,50.88,1014.19,100.12,460.44
3040,21.29,59.04,1012.49,84.23,445.37
351,18.91,56.9,1006.98,84.07,448.24
4438,23.31,60.37,1005.17,82.75,438.52
8464,22.84,59.39,1014.61,80.36,443.71
3516,23.06,63.9,1013.54,65.28,447.36
4968,26.16,63.76,1010.03,68.77,437.24
209,9.86,38.38,1018.22,85.35,479.56
1322,11.08,38.16,1014.45,74.99,473.32
885,11.46,44.85,1014.3,63.24,475.33
5131,13.83,43.22,1010.62,70.8,464.39
3680,26.88,74.78,1010.42,64.81,440.84
8011,15.84,52.72,1026.45,62.57,464.93
8362,28.29,68.08,1010.77,53.92,430.93
7795,8.33,39.72,1020.24,82.84,479.12
4415,25.47,59.92,1010.08,77.18,439.84
6150,22.77,69.84,1005.75,84.26,436.75
3522,26.09,70.4,1007.41,85.37,432.52
1035,24.54,48.06,1013.02,55.18,443.67
7034,31.04,74.67,1015.85,43.32,435.17
3339,27.06,72.58,1009.24,90.31,429.18
7263,8.88,36.3,1015.27,56.96,478.7
3350,7.74,42.49,1009.07,90.11,481.69
3193,12.99,40.55,1007.52,94.15,472.18
1796,13.44,42.34,1018.0,96.65,459.6
8608,11.67,44.6,1018.09,92.53,467.96
6365,31.53,70.36,1006.29,57.11,438.71
3748,28.7,49.16,1004.42,36.51,439.45
700,15.67,41.1,1004.1,77.93,466.45
1391,29.29,73.18,1012.4,66.65,430.31
636,15.87,39.31,1009.95,66.78,460.59
3591,9.27,40.22,1008.1,89.24,481.23
5426,9.43,41.4,1028.03,84.98,474.16
6928,24.94,62.96,1019.76,58.44,443.48
7487,12.24,41.2,1012.48,89.85,473.22
5386,13.29,71.14,1019.63,75.09,464.18
2037,7.54,37.7,1014.58,78.43,481.56
5163,12.21,44.34,1017.98,86.17,475.06
9086,10.06,42.02,999.37,98.65,477.82
5359,10.2,41.17,1019.56,82.46,479.7
8563,14.09,43.99,1021.02,94.39,468.09
3968,24.73,65.34,1015.42,52.8,446.92
703,26.91,70.47,1007.55,72.59,434.24
3264,20.74,58.12,1015.43,77.88,449.91
6838,14.24,41.16,1010.16,87.0,471.0
5289,10.06,39.61,1020.69,69.49,478.35
5572,24.96,74.99,1008.25,80.52,440.91
3536,18.6,60.1,1009.91,87.13,453.94
3782,32.16,71.32,1005.5,60.23,434.01
9534,23.62,45.87,1007.75,58.69,445.55
9410,12.79,41.62,1010.52,81.83,466.91
6156,21.78,51.43,1007.45,88.71,446.56
6977,19.45,38.52,1017.99,62.86,451.96
3124,23.47,51.3,1011.89,74.1,448.65
6622,12.38,48.04,1012.78,100.13,465.99
8489,15.4,41.16,1005.34,80.22,465.16
8560,28.24,64.69,1007.35,61.14,438.03
5793,12.72,44.9,1007.6,71.8,463.49
4346,12.99,44.0,1025.22,90.27,470.93
1667,10.39,40.22,1004.95,91.65,476.49
137,8.66,41.01,1022.51,98.55,472.16
5552,26.72,67.79,1010.35,63.31,444.68
7410,27.53,67.83,1009.4,53.73,429.05
8825,31.1,69.51,1010.84,45.4,429.74
448,21.05,63.09,1016.49,91.23,447.45
804,24.62,68.31,1010.45,75.18,448.58
247,18.11,58.95,1016.61,89.17,454.29
8200,28.32,47.93,1003.26,54.5,439.5
5551,10.45,39.69,1003.92,89.45,472.54
1122,22.09,65.59,1015.54,72.44,447.28
2860,16.7,36.99,1006.19,89.33,464.7
7029,24.37,63.47,1012.77,75.22,445.6
4212,27.36,66.54,1011.31,45.3,436.69
9211,13.27,40.27,1006.1,40.04,473.88
2126,23.63,63.57,1011.05,87.96,449.01
1938,15.38,43.99,1022.42,83.41,462.48
7419,14.17,39.59,1010.99,94.08,464.17
6040,23.64,69.94,1005.2,64.53,439.66
3190,16.65,46.18,1010.6,95.69,465.6
2995,6.93,43.13,1018.61,88.31,486.94
7389,26.05,65.59,1012.78,67.03,437.04
1250,19.1,56.53,1020.18,76.38,455.52
7807,21.04,69.48,1011.07,89.92,439.53
5794,24.44,73.5,1011.49,87.39,437.73
768,24.03,66.54,1012.19,69.15,438.08
169,17.28,44.06,1018.15,66.93,462.05
615,23.59,59.43,1009.96,65.8,440.61
6543,31.74,72.58,1007.26,59.58,425.12
3699,20.35,56.53,1020.23,70.05,456.04
1342,7.0,39.81,1017.47,87.65,484.51
5702,15.5,44.92,1024.16,86.44,462.12
173,17.32,43.7,1015.13,61.66,464.5
6684,19.31,43.56,1013.65,41.54,463.35
5751,18.62,59.15,1012.85,82.54,450.81
1282,21.29,47.45,1008.85,71.6,447.78
7365,23.39,69.13,1010.99,90.66,434.5
9487,27.19,64.27,1013.06,58.13,444.54
5209,14.24,39.99,1009.3,83.75,466.2
8199,4.78,42.85,1013.07,94.72,479.09
7424,15.4,38.73,1000.67,79.71,469.18
6301,9.13,39.04,1022.36,74.6,483.24
1376,10.17,40.1,1014.05,91.9,479.58
9497,31.46,70.79,1003.54,59.51,425.68
263,26.1,62.91,1012.44,60.91,446.05
5494,14.24,39.58,1011.17,70.45,469.94
8894,13.57,41.4,1021.27,72.55,464.23
1616,20.58,49.15,1021.42,56.15,453.87
9315,10.99,43.5,1021.1,93.64,469.34
6879,21.39,51.3,1013.39,89.05,452.7
5886,16.96,63.31,1016.42,77.09,454.14
2436,30.95,71.58,1009.95,50.02,430.47
7136,11.16,40.96,1023.49,83.7,478.3
6218,14.04,40.83,1008.98,82.04,469.75
5704,28.38,72.39,998.93,73.85,432.02
5570,10.03,42.02,998.6,99.9,471.07
7314,13.18,40.73,1017.62,94.4,465.96
4747,25.99,63.07,1012.5,64.81,442.16
2687,22.89,65.34,1015.53,61.0,450.53
6116,21.7,64.69,1007.93,78.37,448.76
3624,23.66,67.17,1007.24,87.56,443.43
7405,19.73,49.69,1007.78,73.02,454.28
8105,16.38,47.45,1010.08,88.86,450.69
1701,23.59,58.62,1017.81,66.68,448.09
6669,25.87,59.43,1008.34,65.83,440.26
1983,19.32,52.84,1004.29,83.51,450.88
2863,6.26,41.31,1002.04,87.54,485.57
4244,18.11,43.43,1008.65,73.3,451.38
7480,18.55,61.87,1008.45,65.3,450.73
1284,11.06,41.5,1013.09,89.8,476.24
2934,12.51,43.67,1013.24,91.55,471.96
2502,24.4,71.14,1009.7,59.26,436.68
8621,16.13,43.48,1014.41,50.05,459.47
8335,17.95,49.21,1012.05,59.44,455.1
5979,28.14,51.43,1012.16,52.67,445.33
8737,7.26,40.69,1020.43,90.22,474.91
2809,18.6,58.71,1009.8,86.42,430.38
9543,13.51,39.31,1012.18,75.19,466.46
9069,29.3,69.48,1010.1,53.69,429.42
1366,30.51,59.57,1011.08,61.94,436.92
9221,12.05,48.04,1009.14,100.13,464.14
3180,17.27,44.9,1007.85,78.8,454.19
2579,17.1,48.98,1016.48,85.63,454.43
5478,30.7,71.58,1010.0,48.96,429.27
9454,8.74,40.03,1016.81,93.37,481.07
2225,13.77,43.13,1016.63,62.13,468.45
2979,7.32,39.42,1026.15,76.51,476.12
8022,13.04,40.69,1015.96,82.37,473.49
1777,14.34,42.86,1031.75,66.81,466.17
7559,30.97,69.13,1009.78,58.92,435.6
8619,23.08,74.78,1009.85,83.67,437.86
6989,29.35,54.2,1013.07,42.45,439.47
229,9.38,40.46,1019.29,75.77,474.1
4400,22.63,58.96,1013.62,56.67,451.41
6766,22.49,61.47,1009.14,90.23,437.01
4715,21.5,50.32,1008.65,81.68,442.71
3262,15.45,46.63,1012.6,85.47,464.37
8574,25.53,62.96,1019.81,59.7,444.38
9431,22.46,48.41,1008.66,80.85,442.57
9330,25.75,71.14,1008.33,77.12,433.64
4579,12.56,41.4,1019.23,74.26,472.54
8926,23.01,44.05,1006.56,74.95,450.67
8240,24.34,62.96,1019.7,61.44,446.09
2890,17.4,63.09,1020.84,92.58,453.0
1152,22.36,64.15,1021.05,68.43,453.94
7175,21.83,62.91,1011.07,91.34,443.76
9287,20.58,54.5,1015.04,89.83,467.76
4626,27.63,71.98,1005.45,82.88,426.0
4934,8.16,39.72,1020.54,82.11,480.21
2439,28.52,57.82,1004.81,57.82,435.4
20,14.9,52.05,1015.11,77.33,464.82
8952,15.43,38.58,1016.58,81.17,463.44
9525,31.26,68.94,1005.94,39.49,438.03
9449,16.27,56.89,1013.74,84.36,454.88
8623,12.74,41.38,1021.92,56.67,475.63
3164,14.13,43.7,1015.94,80.89,469.28
374,24.02,64.63,1020.49,55.17,449.66
5611,9.15,44.03,1012.45,81.67,474.26
